,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.56675653775835,0.005934825159494395,0.028490047962405285,4,13.0,33,11,11,"eff_d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.07756149863873703
2,2,-15.570935192175792,0.004178654417442473,0.02431139354496281,6,26.0,66,17,21,"eff_d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.04809327268862554
3,3,-15.575216176125597,0.004280983949804806,0.020030409595158005,8,47.0,101,21,21,"eff_d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.048104969340111985
4,4,-15.578093024131492,0.0028768480058953827,0.017153561589262623,8,60.0,134,32,32,"eff_d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.04042832224192106
5,5,-15.582317394615874,0.004224370484381623,0.012929191104881,8,73.0,167,32,32,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.05789451937730814
6,6,-15.584867156989565,0.002549762373691422,0.010379428731189577,8,90.0,202,37,40,"eff_d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.0422583381264131
7,7,-15.58765301097703,0.0027858539874650035,0.007593574743724574,8,107.0,237,42,44,"eff_d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.042123176299204486
8,8,-15.589389151527152,0.0017361405501219451,0.005857434193602629,8,120.0,270,48,44,"eff_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.027848140895723274
9,9,-15.591895871696,0.002506720168847565,0.0033507140247550637,8,133.0,303,59,55,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.05471774898779855
10,10,-15.594261077384495,0.0023652056884948536,0.0009855083362602102,10,146.0,336,70,66,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.054799833507807524
11,11,-15.594303126060915,4.2048676419881303e-05,0.0009434596598403289,4,159.0,369,70,66,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0018381472743003698
12,12,-15.5943388527714,3.5726710486017055e-05,0.0009077329493543118,4,172.0,402,70,66,"eff_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.001817895837659092
13,13,-15.59435937842587,2.0525654468528387e-05,0.0008872072948857834,4,185.0,435,70,66,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0015290200936148872
14,14,-15.594379678247275,2.0299821406055685e-05,0.0008669074734797277,4,198.0,468,70,66,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0015310937455593164
15,15,-15.594423808387667,4.4130140391729356e-05,0.0008227773330879984,6,211.0,501,76,76,"eff_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.003134464835326311
16,16,-15.594467876868428,4.406848076143888e-05,0.0007787088523265595,6,228.0,536,80,78,"eff_d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.0031376565895545453
17,17,-15.59451105117677,4.3174308341775713e-05,0.0007355345439847838,6,245.0,571,84,82,"eff_d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.0031377845291419406
18,18,-15.59455419918025,4.314800347948733e-05,0.0006923865405052965,6,258.0,604,90,90,"eff_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.00313446210378247
19,19,-15.594601597045905,4.7397865655440796e-05,0.0006449886748498557,4,275.0,639,103,101,"eff_d_f_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.006389566215558908
20,20,-15.594653549035748,5.1951989842535795e-05,0.0005930366850073199,6,292.0,674,103,101,"eff_d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.00641022619756183
21,21,-15.594662864849731,9.31581398333492e-06,0.000583720871023985,4,305.0,707,109,111,"eff_d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.0013028522663822673
22,22,-15.594671969140071,9.104290340289367e-06,0.0005746165806836956,4,322.0,742,113,113,"eff_d_f_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",-0.0013021663635271105
23,23,-15.594755574225019,8.36050849475356e-05,0.00049101149573616,12,339.0,753,113,113,eff_s_f_exc_11_3,"[[3], [11]]",-0.010590995570889501
24,24,-15.59478914192131,3.356769629192513e-05,0.00045744379944423486,9,356.0,764,113,113,eff_s_f_exc_12_4,"[[4], [12]]",0.0044638540371039846
25,25,-15.594837433366283,4.829144497264792e-05,0.00040915235447158693,13,373.0,775,118,121,eff_s_f_exc_10_2,"[[2], [10]]",-0.010102771752400232
26,26,-15.594856292429828,1.885906354459621e-05,0.0003902932909269907,11,390.0,786,118,121,eff_s_f_exc_13_5,"[[5], [13]]",0.0044713834615022615
27,27,-15.594859415138936,3.1227091081831304e-06,0.0003871705818188076,4,407.0,821,122,123,"eff_d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.0007625863451140744
28,28,-15.594862399264995,2.9841260591467744e-06,0.0003841864557596608,4,420.0,854,128,133,"eff_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.0007607586341348355
29,29,-15.594863631119479,1.2318544833078704e-06,0.00038295460127635295,4,437.0,889,130,133,"eff_d_f_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",0.000472947494024007
