,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756537758364,0.005934825159494395,0.02849004796213883,4,48.0,72,32,24,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.08002001872828797
2,2,-15.570935192175803,0.004178654417438921,0.02431139354469991,6,96.0,144,48,40,"d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.04857340096851384
3,3,-15.575216176125611,0.004280983949808359,0.02003040959489155,8,208.0,216,80,40,"d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.04858370926665342
4,4,-15.578093024131507,0.0028768480058953827,0.01715356158899617,8,256.0,288,96,48,"d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.040307949018501946
5,5,-15.582317394615883,0.004224370484376294,0.012929191104619875,8,304.0,360,96,64,"d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.05778633619235837
6,6,-15.584867156989585,0.0025497623737020803,0.010379428730917795,8,384.0,432,128,80,"d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.042195593984324826
7,7,-15.58765301097705,0.0027858539874650035,0.007593574743452791,8,464.0,504,160,80,"d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.04218969491020497
8,8,-15.589389151527156,0.001736140550105958,0.005857434193346833,8,512.0,576,160,96,"d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.027627697674649426
9,9,-15.591895871696016,0.0025067201688599994,0.003350714024486834,8,560.0,648,192,96,"d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.054407731641378576
10,10,-15.594261077384518,0.002365205688501959,0.0009855083359848749,10,608.0,720,224,96,"d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.054502909774973574
11,11,-15.594303126060929,4.204867641099952e-05,0.0009434596595738753,4,656.0,792,224,104,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.00043411980671544494
