,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756541415856,0.0059348288169811525,0.028490044304696482,55,48.0,72,32,24,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.07749903146322179
2,2,-15.57093520347373,0.00417866205787476,0.024311382246821722,104,96.0,144,48,40,"d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.04809925705231918
3,3,-15.575216182049344,0.004280978575613048,0.020030403671208674,172,208.0,216,80,40,"d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.04809884633324954
4,4,-15.578093027055393,0.0028768450060496775,0.017153558665158997,244,256.0,288,96,48,"d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.040440254275938003
5,5,-15.582317535773276,0.004224508717882713,0.012929049947276283,397,304.0,360,96,64,"d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.05789728194661434
6,6,-15.584867337223756,0.0025498014504794497,0.010379248496796833,387,384.0,432,128,72,"d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.04219885120210691
7,7,-15.587653234867313,0.002785897643557078,0.007593350853239755,580,464.0,504,160,80,"d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.042198908988239
8,8,-15.589389210918668,0.0017359760513553368,0.0058573748018844185,724,512.0,576,160,96,"d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.02787547311153874
9,9,-15.591896270201477,0.002507059282809365,0.0033503155190750533,957,560.0,648,192,96,"d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.05472634913232907
10,10,-15.594261365359579,0.002365095158101127,0.0009852203609739263,913,608.0,720,224,96,"d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.05480996416193274
11,11,-15.594303340082309,4.1974722730486747e-05,0.0009432456382434395,709,656.0,792,224,104,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0018850635367684018
12,12,-15.594339012528195,3.567244588609242e-05,0.0009075731923573471,1270,704.0,864,224,120,"d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.0018154787804060281
13,13,-15.594359494160924,2.0481632729385524e-05,0.0008870915596279616,1305,752.0,936,224,120,"d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0015306492976356022
14,14,-15.594379775284875,2.028112395002779e-05,0.0008668104356779338,1665,800.0,1008,224,120,"d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0015308945149244244
15,15,-15.594423864252274,4.408896739960255e-05,0.0008227214682783313,2515,880.0,1080,256,120,"d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.0031281816968285634
16,16,-15.594467922507365,4.405825509046224e-05,0.000778663213187869,2776,928.0,1152,256,120,"d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0031278301494198613
17,17,-15.594511093841144,4.317133377895743e-05,0.0007354918794089116,2925,1008.0,1224,288,128,"d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.00312826787721152
18,18,-15.594554241486993,4.3147645849117566e-05,0.000692344233559794,3601,1056.0,1296,288,128,"d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.003128213568508877
19,19,-15.594602513349894,4.827186290157215e-05,0.0006440723706582219,3801,1136.0,1368,304,144,"d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.006391291111645806
20,20,-15.594654407263546,5.189391365156837e-05,0.0005921784570066535,4001,1216.0,1440,336,144,"d_f_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.0063909321238486035
21,21,-15.594663390360541,8.983096995152096e-06,0.0005831953600115014,3245,1264.0,1512,336,168,"d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.0012821404491518444
22,22,-15.594672300665257,8.910304716280848e-06,0.0005742850552952206,4401,1344.0,1584,368,192,"d_f_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",-0.0012820360414916726
23,23,-15.594755891994165,8.359132890767285e-05,0.0004906937263875477,4601,1376.0,1594,372,192,s_f_exc_3_11,"[[3], [11]]",-0.010337797751478884
24,24,-15.594789458970995,3.356697683010168e-05,0.00045712674955744603,4801,1408.0,1604,372,192,s_f_exc_4_12,"[[4], [12]]",0.004480706869650472
25,25,-15.594837532412722,4.8073441726970145e-05,0.0004090533078304759,5001,1440.0,1614,380,192,s_f_exc_2_10,"[[2], [10]]",-0.010338761566788528
26,26,-15.594856587085298,1.9054672575791187e-05,0.0003899986352546847,5201,1472.0,1624,380,198,s_f_exc_5_13,"[[5], [13]]",0.004480486623566716
