,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756541415815,0.005934828816936744,0.028490044304939843,5,48.0,72,32,24,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.11028863366837319
2,2,-15.570935203473724,0.004178662057908511,0.024311382247031332,7,96.0,144,48,40,"d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.06732806437149894
3,3,-15.57521618204935,0.004280978575627259,0.020030403671404073,10,208.0,216,80,40,"d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.06593076873331147
4,4,-15.578093027055365,0.0028768450060141504,0.017153558665389923,9,256.0,288,96,48,"d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.03763221882079197
5,5,-15.582317535773289,0.00422450871792357,0.012929049947466353,11,304.0,360,96,64,"d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.048747896150518125
6,6,-15.584867337223749,0.00254980145045991,0.010379248497006444,16,384.0,432,128,72,"d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.04253978671900945
7,7,-15.58765323486729,0.002785897643541091,0.007593350853465353,18,464.0,504,160,80,"d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.04254078321444047
8,8,-15.58938921091835,0.0017359760510604616,0.005857374802404891,16,512.0,576,160,96,"d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.015046455474467079
9,9,-15.591896270201506,0.0025070592831557548,0.0033503155192491363,21,560.0,648,192,96,"d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.061896041207659194
10,10,-15.59426136535899,0.002365095157484731,0.000985220361764405,18,608.0,720,224,96,"d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.06266380487659173
11,11,-15.594303340082323,4.1974723332671715e-05,0.0009432456384317334,13,656.0,792,224,104,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",4.3700031173414603e-05
12,12,-15.594339012528152,3.5672445829249e-05,0.0009075731926024844,15,704.0,864,224,120,"d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",2.044136139169155e-05
13,13,-15.594359494160937,2.0481632784452586e-05,0.0008870915598180318,14,752.0,936,224,120,"d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.00023065437499806621
14,14,-15.59437977528482,2.028112388252623e-05,0.0008668104359355056,17,800.0,1008,224,120,"d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.00020778762669432018
15,15,-15.594423864251947,4.4088967127819956e-05,0.0008227214688076856,23,880.0,1080,256,120,"d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.004450579734436255
16,16,-15.594467922507372,4.4058255424417325e-05,0.0007786632133832683,22,928.0,1152,256,120,"d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.005184916660830796
17,17,-15.594511093841025,4.31713336528361e-05,0.0007354918797304322,19,1008.0,1224,288,128,"d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.0018027014569501852
18,18,-15.59455424148733,4.3147646305641274e-05,0.0006923442334247909,21,1056.0,1296,288,128,"d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.0031375476022546863
19,19,-15.594602513387368,4.8271900038088233e-05,0.0006440723333867027,27,1136.0,1368,320,144,"d_f_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.04057367438465008
20,20,-15.594654407283619,5.189389625037677e-05,0.0005921784371363259,28,1216.0,1440,336,144,"d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.036293512982048394
21,21,-15.594663390360694,8.983077075086499e-06,0.0005831953600612394,14,1296.0,1512,368,168,"d_f_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",0.0008830994410537502
22,22,-15.59467230084182,8.910481126278569e-06,0.0005742848789349608,16,1344.0,1584,368,192,"d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",-0.00048282318347979566
23,23,-15.594675323654831,3.0228130114551277e-06,0.0005712620659235057,17,1424.0,1656,400,192,"d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.001434957095074377
24,24,-15.594678319256928,2.995602097044525e-06,0.0005682664638264612,17,1472.0,1728,400,192,"d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.001462899039898779
25,25,-15.594679617915165,1.2986582369478583e-06,0.0005669678055895133,16,1552.0,1800,432,192,"d_f_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",0.005862902011124844
26,26,-15.594680917725084,1.2998099183647582e-06,0.0005656679956711486,16,1696.0,1872,464,216,"d_f_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",0.005164759884149095
27,27,-15.594681761308037,8.435829528252725e-07,0.0005648244127183233,18,1808.0,1944,496,240,"d_f_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",-0.0008962587136762364
28,28,-15.594682605727696,8.444196595291942e-07,0.0005639799930587941,18,1920.0,2016,528,240,"d_f_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",-0.0012405725312102849
29,29,-15.59468737463165,4.768903954399661e-06,0.0005592110891043944,30,1968.0,2088,528,240,"d_f_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",-0.014390102648225269
30,30,-15.594691860680076,4.486048425178524e-06,0.0005547250406792159,28,2016.0,2160,528,240,"d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.015213231588494077
31,31,-15.59477885466886,8.699398878420084e-05,0.00046773105189501507,38,2128.0,2232,528,240,"d_f_exc_[5, 12]_[6, 7]","[[5, 12], [6, 7]]",0.23802773877089203
32,32,-15.59481207666318,3.32219943199874e-05,0.00043450905757502767,52,2208.0,2304,560,248,"d_f_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",-0.03419907851207055
33,33,-15.594836446802173,2.4370138993035084e-05,0.0004101389185819926,59,2352.0,2376,576,264,"d_f_exc_[3, 10]_[12, 13]","[[3, 10], [12, 13]]",-0.01618926395792616
34,34,-15.59492315019164,8.670338946714651e-05,0.0003234355291148461,54,2496.0,2448,576,288,"d_f_exc_[4, 13]_[8, 9]","[[4, 13], [8, 9]]",-0.24666427991956327
35,35,-15.594956297778293,3.314758665240447e-05,0.0002902879424624416,65,2576.0,2520,592,312,"d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",-0.030135260871422813
36,36,-15.594957781862439,1.484084146241571e-06,0.00028880385831620004,55,2624.0,2592,592,336,"d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.0019503976175161382
37,37,-15.59503102906323,7.324720079182612e-05,0.00021555665752437392,61,2736.0,2664,608,336,"d_f_exc_[3, 10]_[4, 5]","[[3, 10], [4, 5]]",0.14710445246148282
38,38,-15.595033729473274,2.700410043132706e-06,0.0002128562474812412,61,2880.0,2736,640,360,"d_f_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",-0.0014053140551090575
39,39,-15.595044507096416,1.0777623142388393e-05,0.00020207862433885282,69,2928.0,2808,640,360,"d_f_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",0.024066476038917473
40,40,-15.595052496315473,7.9892190569808e-06,0.00019408940528187202,80,2976.0,2880,672,384,"d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.010805505926959509
41,41,-15.595070950298949,1.8453983475552604e-05,0.00017563542180631941,84,3024.0,2952,672,384,"d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.0276147859870009
42,42,-15.595076106620333,5.156321384092166e-06,0.00017047910042222725,86,3200.0,3024,704,384,"d_f_exc_[0, 11]_[6, 7]","[[0, 11], [6, 7]]",-0.0022969021649367634
43,43,-15.595146001624306,6.989500397303061e-05,0.00010058409644919664,90,3344.0,3096,736,384,"d_f_exc_[2, 11]_[4, 5]","[[2, 11], [4, 5]]",-0.14783088558843713
44,44,-15.595149737541359,3.73591705304932e-06,9.684817939614732e-05,71,3424.0,3168,768,384,"d_f_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",-0.003323211860614039
45,45,-15.595150606084946,8.68543587273507e-07,9.597963580887381e-05,65,3504.0,3240,800,408,"d_f_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",-0.002142373430429214
46,46,-15.595151208868193,6.027832473165518e-07,9.537685256155726e-05,67,3552.0,3312,800,432,"d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.0017734278950623998
47,47,-15.595156328992418,5.120124225044265e-06,9.025672833651299e-05,74,3696.0,3384,832,432,"d_f_exc_[1, 10]_[8, 9]","[[1, 10], [8, 9]]",0.007227638924856014
48,48,-15.595186570210394,3.0241217976012535e-05,6.001551036050046e-05,95,3840.0,3456,864,432,"d_f_exc_[2, 11]_[6, 7]","[[2, 11], [6, 7]]",0.06404983672715832
49,49,-15.595216664774147,3.0094563753024772e-05,2.9920946607475685e-05,101,3952.0,3528,880,432,"d_f_exc_[3, 10]_[8, 9]","[[3, 10], [8, 9]]",-0.06758779350766295
50,50,-15.595217634220564,9.694464164766714e-07,2.8951500190999013e-05,79,4000.0,3600,880,432,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",1.0651673877178587e-05
51,51,-15.595219939399085,2.3051785209560194e-06,2.6646321670042994e-05,78,4048.0,3672,880,432,"d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.00822616688283558
52,52,-15.595222319068293,2.3796692083521975e-06,2.4266652461690796e-05,61,4224.0,3744,912,432,"d_f_exc_[0, 11]_[8, 9]","[[0, 11], [8, 9]]",-0.008413436808768224
53,53,-15.595224246980957,1.9279126632909538e-06,2.2338739798399843e-05,88,4304.0,3816,944,432,"d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.00753899437544203
54,54,-15.59522624316508,1.996184122887712e-06,2.034255567551213e-05,52,4448.0,3888,976,432,"d_f_exc_[1, 10]_[6, 7]","[[1, 10], [6, 7]]",0.008512092871893476
55,55,-15.595226839376604,5.962115245949917e-07,1.974634415091714e-05,78,4496.0,3960,976,432,"d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.00015498035763451321
56,56,-15.595227415227443,5.758508390130146e-07,1.9170493311904124e-05,76,4576.0,4032,1008,432,"d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.0010974746095162872
57,57,-15.595230239154501,2.8239270584151654e-06,1.634656625348896e-05,82,4720.0,4104,1040,432,"d_f_exc_[2, 3]_[5, 12]","[[2, 3], [5, 12]]",0.021432885599702058
58,58,-15.595232564467521,2.325313019468922e-06,1.4021253234020037e-05,85,4896.0,4176,1072,456,"d_f_exc_[2, 3]_[4, 13]","[[2, 3], [4, 13]]",-0.020760989136403524
59,59,-15.595233114655144,5.501876234603742e-07,1.3471065610559663e-05,53,5072.0,4248,1072,480,"d_f_exc_[1, 2]_[4, 13]","[[1, 2], [4, 13]]",0.0034558422451177974
