,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.576193109647852,0.015371397048996371,0.019053476072832254,558,2453.0,6217,718,763,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0006240383891427348
2,2,-15.58056532328096,0.004372213633107691,0.014681262439724563,98,2466.0,6250,718,763,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.048699302941919806
3,3,-15.585071164506179,0.004505841225219243,0.01017542121450532,94,2479.0,6283,718,763,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.048646300735766715
4,4,-15.588004632880441,0.00293346837426256,0.00724195284024276,81,2492.0,6316,718,763,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.040114062309320624
5,5,-15.590461037966193,0.002456405085752067,0.004785547754490693,96,2505.0,6349,718,763,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.04232869275000472
6,6,-15.593091855776075,0.002630817809881947,0.0021547299446087465,93,2518.0,6382,718,763,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.042255545621443846
7,7,-15.5946784009353,0.0015865451592240731,0.0005681847853846733,95,2531.0,6415,718,763,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.028768113763381856
8,8,-15.594713910721449,3.550978614974554e-05,0.0005326749992349278,67,2544.0,6448,729,773,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.0018495633166926474
9,9,-15.594758442934813,4.453221336397917e-05,0.0004881427858709486,76,2557.0,6481,729,784,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.003124211208955747
10,10,-15.594802499715872,4.4056781058898764e-05,0.00044408600481204985,67,2570.0,6514,729,795,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.0030902432918888446
11,11,-15.594845714813319,4.321509744720231e-05,0.00040087090736484754,86,2583.0,6547,740,795,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.0004948683311200219
12,12,-15.59488847083552,4.2756022201828614e-05,0.0003581148851630189,80,2596.0,6580,751,795,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.000468382713282942
13,13,-15.594940848868989,5.2378033467803675e-05,0.00030573685169521525,87,2609.0,6613,751,795,"d_q_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.049822635122420994
14,14,-15.594997154748109,5.6305879120088775e-05,0.0002494309725751265,69,2622.0,6646,751,795,"d_q_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.048632138894999496
15,15,-15.595006610434874,9.455686765136306e-06,0.00023997528580999017,31,2635.0,6679,762,795,"d_q_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",-6.543577499149397e-05
16,16,-15.595015978277951,9.367843077257021e-06,0.00023060744273273315,20,2648.0,6712,762,806,"d_q_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",-0.0006203747236213458
17,17,-15.595037073669223,2.1095391272041297e-05,0.00020951205146069185,66,2651.0,6719,762,806,s_q_exc_5_13,"[[5], [13]]",-0.0022217734122154126
18,18,-15.59505762993803,2.0556268806259936e-05,0.00018895578265443191,71,2654.0,6726,762,806,s_q_exc_4_12,"[[4], [12]]",0.0024868175145071527
19,19,-15.595060637801094,3.0078630643970428e-06,0.00018594791959003487,83,2667.0,6759,773,806,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0012401630877075561
20,20,-15.59506360799579,2.9701946964166837e-06,0.0001829777248936182,81,2680.0,6792,773,817,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.00036546197640679074
21,21,-15.595064972702101,1.364706310624797e-06,0.0001816130185829934,8,2693.0,6825,784,817,"d_q_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",4.9601174229707425e-05
22,22,-15.595066160776726,1.1880746253467578e-06,0.00018042494395764663,43,2706.0,6858,795,817,"d_q_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",0.00037438347655874076
23,23,-15.595067293323844,1.1325471174217228e-06,0.0001792923968402249,8,2719.0,6891,795,828,"d_q_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",0.0004882177196529308
24,24,-15.595068300538337,1.0072144931427829e-06,0.00017828518234708213,11,2732.0,6924,795,839,"d_q_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",0.00048534761790117674
25,25,-15.595069110882843,8.103445061635739e-07,0.00017747483784091855,16,2735.0,6931,795,843,s_q_exc_1_11,"[[1], [11]]",-0.0006870695503639825
26,26,-15.595069734255507,6.233726637105974e-07,0.00017685146517720796,9,2738.0,6938,798,843,s_q_exc_0_10,"[[0], [10]]",-0.00017975717963681083
27,27,-15.595072380020886,2.6457653792277824e-06,0.00017420569979798017,31,2751.0,6971,798,854,"d_q_exc_[1, 10]_[6, 7]","[[1, 10], [6, 7]]",-0.004797844002456979
28,28,-15.595074976251466,2.596230579854364e-06,0.0001716094692181258,32,2764.0,7004,798,865,"d_q_exc_[1, 10]_[8, 9]","[[1, 10], [8, 9]]",-0.004090116602236707
29,29,-15.595086093267735,1.1117016269324154e-05,0.00016049245294880166,60,2777.0,7037,798,865,"d_q_exc_[2, 11]_[12, 13]","[[2, 11], [12, 13]]",0.05654104665464801
30,30,-15.595123562750006,3.746948227068003e-05,0.00012302297067812162,136,2790.0,7070,798,865,"d_q_exc_[2, 11]_[6, 7]","[[2, 11], [6, 7]]",0.08742359513241565
31,31,-15.595145484611013,2.1921861007356824e-05,0.0001011011096707648,106,2803.0,7103,798,865,"d_q_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",-0.04305875125633933
32,32,-15.595155530255743,1.0045644730283243e-05,9.105546494048156e-05,127,2816.0,7136,798,865,"d_q_exc_[3, 10]_[12, 13]","[[3, 10], [12, 13]]",-0.05500894103895978
33,33,-15.59519159938102,3.606912527587269e-05,5.498633966460886e-05,131,2829.0,7169,798,865,"d_q_exc_[3, 10]_[8, 9]","[[3, 10], [8, 9]]",-0.08841364501200988
34,34,-15.595210228993022,1.8629612002385443e-05,3.635672766222342e-05,137,2842.0,7202,798,865,"d_q_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",-0.041868982807289366
35,35,-15.59522467369458,1.4444701557536632e-05,2.1912026104686788e-05,107,2855.0,7235,798,865,"d_q_exc_[2, 3]_[5, 12]","[[2, 3], [5, 12]]",-0.06522678483569835
36,36,-15.595234937101072,1.0263406492683202e-05,1.1648619612003586e-05,101,2868.0,7268,798,865,"d_q_exc_[2, 3]_[4, 13]","[[2, 3], [4, 13]]",0.05789949500699252
37,37,-15.59523625314031,1.3160392384747865e-06,1.0332580373528799e-05,29,2881.0,7301,809,865,"d_q_exc_[0, 4]_[2, 12]","[[0, 4], [2, 12]]",-0.00811667214795003
38,38,-15.595236825891273,5.727509631014982e-07,9.759829410427301e-06,34,2894.0,7334,820,865,"d_q_exc_[0, 5]_[3, 12]","[[0, 5], [3, 12]]",0.010782645990817213
39,39,-15.595237319408769,4.93517495314677e-07,9.266311915112624e-06,36,2907.0,7367,820,876,"d_q_exc_[1, 5]_[3, 13]","[[1, 5], [3, 13]]",-0.001326551283427315
40,40,-15.595237337177297,1.776852798229811e-08,9.248543387130326e-06,7,2920.0,7400,820,887,"d_q_exc_[1, 5]_[11, 13]","[[1, 5], [11, 13]]",-0.0035260073547839343
41,41,-15.595237926393109,5.892158121412194e-07,8.659327574989106e-06,38,2933.0,7433,831,887,"d_q_exc_[0, 11]_[12, 13]","[[0, 11], [12, 13]]",-0.017962942965624902
42,42,-15.595238348443994,4.2205088490732123e-07,8.237276690081785e-06,49,2946.0,7466,842,887,"d_q_exc_[0, 11]_[8, 9]","[[0, 11], [8, 9]]",0.01205251429255363
43,43,-15.595238354425431,5.981437567470493e-09,8.231295252514315e-06,4,2959.0,7499,853,887,"d_q_exc_[0, 4]_[10, 12]","[[0, 4], [10, 12]]",0.0002094701181236475
44,44,-15.595238719532079,3.651066471377362e-07,7.866188605376578e-06,41,2972.0,7532,864,887,"d_q_exc_[0, 11]_[6, 7]","[[0, 11], [6, 7]]",0.010193439194444386
45,45,-15.595239106460602,3.869285229995967e-07,7.479260082376982e-06,41,2985.0,7565,875,887,"d_q_exc_[0, 3]_[4, 13]","[[0, 3], [4, 13]]",0.005136347876474348
46,46,-15.595239377338412,2.7087781084844664e-07,7.208382271528535e-06,39,2998.0,7598,875,898,"d_q_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",-5.410650516634315e-05
47,47,-15.595239475482689,9.814427670562509e-08,7.11023799482291e-06,22,3011.0,7631,886,908,"d_q_exc_[0, 1]_[4, 13]","[[0, 1], [4, 13]]",0.0011495546466880938
48,48,-15.595239883447803,4.0796511413532244e-07,6.7022728806875875e-06,63,3024.0,7664,897,908,"d_q_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",0.0018294738241501334
49,49,-15.59523995512749,7.16796861865987e-08,6.630593194500989e-06,29,3037.0,7697,908,918,"d_q_exc_[0, 1]_[5, 12]","[[0, 1], [5, 12]]",0.0007107446649585944
50,50,-15.595240073489574,1.1836208457793873e-07,6.51223110992305e-06,32,3050.0,7730,908,929,"d_q_exc_[1, 4]_[2, 13]","[[1, 4], [2, 13]]",0.0012139558803344588
51,51,-15.595240246923609,1.7343403513336852e-07,6.3387970747896816e-06,84,3063.0,7763,908,940,"d_q_exc_[1, 10]_[12, 13]","[[1, 10], [12, 13]]",0.00036311165572397956
52,52,-15.595240473131495,2.2620788620031362e-07,6.112589188589368e-06,53,3076.0,7796,908,951,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0011812130694209251
53,53,-15.595240647995285,1.74863789226265e-07,5.937725399363103e-06,30,3089.0,7829,908,962,"d_q_exc_[1, 2]_[5, 12]","[[1, 2], [5, 12]]",0.0017597579288029413
54,54,-15.595240987655064,3.396597794136369e-07,5.598065619949466e-06,72,3102.0,7862,919,962,"d_q_exc_[0, 13]_[11, 12]","[[0, 13], [11, 12]]",-0.010391725844581198
55,55,-15.595241787674262,8.000191975554571e-07,4.798046422394009e-06,87,3115.0,7895,930,962,"d_q_exc_[0, 3]_[5, 12]","[[0, 3], [5, 12]]",-0.0072908429228593094
56,56,-15.595242979815685,1.192141423800308e-06,3.605904998593701e-06,97,3128.0,7928,941,962,"d_q_exc_[0, 2]_[4, 12]","[[0, 2], [4, 12]]",-0.0019728618645841844
57,57,-15.595243140337717,1.605220312228539e-07,3.445382967370847e-06,65,3141.0,7961,941,973,"d_q_exc_[1, 4]_[3, 12]","[[1, 4], [3, 12]]",-0.0019840890515333423
58,58,-15.595243191067484,5.072976705378096e-08,3.394653200317066e-06,50,3154.0,7994,952,973,"d_q_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",-0.0027754585201427784
59,59,-15.595243287352352,9.628486807855552e-08,3.2983683322385104e-06,99,3167.0,8027,963,983,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0016914765359022103
60,60,-15.595243332645085,4.529273311959514e-08,3.2530755991189153e-06,57,3180.0,8060,963,994,"d_q_exc_[1, 3]_[5, 13]","[[1, 3], [5, 13]]",-0.00011360792824518972
61,61,-15.595243335437855,2.7927704593366798e-09,3.2502828286595786e-06,37,3193.0,8093,963,1005,"d_q_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",3.6556442337424725e-05
62,62,-15.595243372454894,3.7017038323483575e-08,3.213265790336095e-06,50,3206.0,8126,974,1005,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.002140125391884665
63,63,-15.595243401756168,2.930127429578988e-08,3.183964516040305e-06,105,3219.0,8159,974,1005,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",0.0001253042977689908
64,64,-15.595244203363148,8.016069799055003e-07,2.382357536134805e-06,101,3222.0,8166,977,1005,s_q_exc_0_2,"[[0], [2]]",-0.04534701618922174
65,65,-15.595244324363259,1.2100011126392474e-07,2.26135742487088e-06,61,3235.0,8199,988,1005,"d_q_exc_[0, 5]_[2, 13]","[[0, 5], [2, 13]]",-0.0026257359081101996
66,66,-15.595244333241315,8.878055623995351e-09,2.2524793692468847e-06,43,3248.0,8232,988,1016,"d_q_exc_[1, 2]_[4, 13]","[[1, 2], [4, 13]]",0.005360303860312071
67,67,-15.595245042186786,7.089454712172483e-07,1.5435338980296365e-06,130,3261.0,8265,988,1016,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.040866352334029035
68,68,-15.595245128617204,8.643041837785859e-08,1.4571034796517779e-06,116,3274.0,8298,988,1027,"d_q_exc_[1, 2]_[6, 9]","[[1, 2], [6, 9]]",-0.0004047114684410293
69,69,-15.595245158851196,3.023399131052429e-08,1.4268694883412536e-06,106,3287.0,8331,999,1037,"d_q_exc_[0, 1]_[6, 9]","[[0, 1], [6, 9]]",1.8083325783513684e-05
70,70,-15.59524517759117,1.873997490520196e-08,1.4081295134360516e-06,82,3300.0,8364,1010,1047,"d_q_exc_[0, 1]_[7, 10]","[[0, 1], [7, 10]]",1.1600631814079337e-05
71,71,-15.595245177978349,3.871782894293574e-10,1.4077423351466223e-06,7,3313.0,8397,1010,1058,"d_q_exc_[1, 2]_[7, 10]","[[1, 2], [7, 10]]",5.835894815607626e-07
72,72,-15.59524524242761,6.444926192727962e-08,1.3432930732193427e-06,133,3326.0,8430,1010,1058,"d_q_exc_[2, 5]_[6, 9]","[[2, 5], [6, 9]]",-0.001329867254097494
73,73,-15.595245264910062,2.2482451456085073e-08,1.3208106217632576e-06,87,3339.0,8463,1021,1058,"d_q_exc_[0, 5]_[6, 9]","[[0, 5], [6, 9]]",5.9757650862627436e-05
74,74,-15.595245324159091,5.924902879428373e-08,1.2615615929689739e-06,100,3352.0,8496,1021,1069,"d_q_exc_[1, 10]_[8, 9]","[[1, 10], [8, 9]]",-0.0018491305680920285
75,75,-15.59524539927051,7.511141930649501e-08,1.1864501736624788e-06,102,3365.0,8529,1032,1069,"d_q_exc_[0, 11]_[8, 9]","[[0, 11], [8, 9]]",-0.005832156647798801
76,76,-15.595245431439366,3.21688560234179e-08,1.154281317639061e-06,67,3378.0,8562,1032,1080,"d_q_exc_[1, 10]_[6, 7]","[[1, 10], [6, 7]]",-0.0016010104280000138
77,77,-15.595245432758826,1.319460096738112e-09,1.1529618575423228e-06,30,3391.0,8595,1043,1080,"d_q_exc_[0, 3]_[9, 10]","[[0, 3], [9, 10]]",0.0005037801522604307
78,78,-15.595245729858425,2.9709959825652277e-07,8.558622592858001e-07,130,3404.0,8628,1054,1080,"d_q_exc_[0, 11]_[12, 13]","[[0, 11], [12, 13]]",0.02132296036470167
79,79,-15.595245815769122,8.591069722285738e-08,7.699515620629427e-07,113,3417.0,8661,1065,1080,"d_q_exc_[0, 11]_[6, 7]","[[0, 11], [6, 7]]",-0.004943187199507099
80,80,-15.595245817279247,1.510125358095138e-09,7.684414367048475e-07,24,3430.0,8694,1065,1080,"d_q_exc_[2, 3]_[9, 10]","[[2, 3], [9, 10]]",2.244647795051854e-05
81,81,-15.595245821334002,4.054754754179157e-09,7.643866819506684e-07,40,3443.0,8727,1076,1080,"d_q_exc_[0, 10]_[6, 8]","[[0, 10], [6, 8]]",0.00021518608827794975
82,82,-15.595245822944577,1.6105747846495433e-09,7.627761071660188e-07,22,3456.0,8760,1087,1090,"d_q_exc_[0, 1]_[2, 7]","[[0, 1], [2, 7]]",5.7252627998424523e-05
83,83,-15.595245822974485,2.990852010498202e-11,7.627461986459139e-07,4,3469.0,8793,1087,1101,"d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-9.530711866331431e-05
84,84,-15.595245823008154,3.366906753399235e-11,7.627125295783799e-07,5,3482.0,8826,1098,1101,"d_q_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",0.00016163974647691477
85,85,-15.595245864035444,4.102729000976524e-08,7.216852395686146e-07,98,3495.0,8859,1098,1101,"d_q_exc_[4, 7]_[9, 10]","[[4, 7], [9, 10]]",-0.010454737657026
86,86,-15.595245872247414,8.211969770854921e-09,7.134732697977597e-07,55,3508.0,8892,1098,1112,"d_q_exc_[1, 2]_[8, 11]","[[1, 2], [8, 11]]",0.0014806914705762437
87,87,-15.595245872615715,3.6830094529705093e-10,7.131049688524627e-07,4,3521.0,8925,1109,1122,"d_q_exc_[0, 1]_[8, 11]","[[0, 1], [8, 11]]",-6.6400331112581e-05
88,88,-15.595245872999635,3.8392045098589733e-10,7.127210484014768e-07,10,3534.0,8958,1120,1123,"d_q_exc_[0, 2]_[6, 8]","[[0, 2], [6, 8]]",0.0002455142974698383
89,89,-15.595245947696018,7.469638241275334e-08,6.380246659887234e-07,127,3547.0,8991,1120,1123,"d_q_exc_[3, 4]_[7, 8]","[[3, 4], [7, 8]]",0.00046594050287857643
90,90,-15.595245969080365,2.1384346737818305e-08,6.166403192509051e-07,107,3560.0,9024,1120,1133,"d_q_exc_[1, 4]_[8, 13]","[[1, 4], [8, 13]]",2.2363506123239468e-06
91,91,-15.595245970853675,1.773310387420679e-09,6.148670088634844e-07,22,3573.0,9057,1131,1134,"d_q_exc_[0, 11]_[7, 8]","[[0, 11], [7, 8]]",-0.00019173597126798456
92,92,-15.595245970903795,5.011990822367807e-11,6.148168889552608e-07,6,3586.0,9090,1142,1145,"d_q_exc_[0, 5]_[7, 10]","[[0, 5], [7, 10]]",-7.060631626447215e-05
93,93,-15.59524597186994,9.661444977382416e-10,6.138507444575225e-07,15,3599.0,9123,1153,1156,"d_q_exc_[0, 4]_[6, 10]","[[0, 4], [6, 10]]",5.6643698918507724e-05
94,94,-15.595245972488195,6.18255668882739e-10,6.132324887886398e-07,16,3612.0,9156,1164,1167,"d_q_exc_[0, 1]_[5, 12]","[[0, 1], [5, 12]]",-0.000904761479155467
95,95,-15.595245981540328,9.052133265186058e-09,6.041803555234537e-07,89,3625.0,9189,1175,1178,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.00022906560756437306
96,96,-15.5952460143282,3.2787871973027904e-08,5.713924835504258e-07,89,3638.0,9222,1175,1178,"d_q_exc_[1, 2]_[3, 10]","[[1, 2], [3, 10]]",0.004323002126100206
