,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-74.97835026077036,0.01578766874601456,0.04494096730897468,6,13.0,33,11,11,"eff_d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.08509847763172959
2,2,-74.98209357727589,0.0037433165055347217,0.041197650803439956,8,26.0,66,11,11,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.02757800081989618
3,3,-74.98806980190186,0.00597622462596803,0.035221426177471926,10,43.0,101,19,21,"eff_d_f_exc_[5, 6]_[10, 13]","[[5, 6], [10, 13]]",0.07140839273724403
4,4,-74.99413124881204,0.0060614469101807344,0.02915997926729119,12,60.0,136,24,22,"eff_d_f_exc_[4, 7]_[11, 12]","[[4, 7], [11, 12]]",0.08943063225689821
5,5,-74.99866422203952,0.004532973227483694,0.024627006039807497,12,73.0,169,24,23,"eff_d_f_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",0.07122383776174213
6,6,-75.00115862950683,0.0024944074673101113,0.022132598572497386,15,86.0,202,30,32,"eff_d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.01713007430626766
7,7,-75.00368595087727,0.0025273213704366526,0.019605277202060734,17,107.0,237,34,32,"eff_d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.02943728598593293
8,8,-75.0061274351162,0.0024414842389290925,0.01716379296313164,19,128.0,272,38,33,"eff_d_f_exc_[2, 7]_[10, 11]","[[2, 7], [10, 11]]",-0.04178593483458844
9,9,-75.00943254080394,0.0033051056877440033,0.013858687275387638,18,141.0,305,38,40,"eff_d_f_exc_[6, 7]_[12, 13]","[[6, 7], [12, 13]]",0.04849038269561324
10,10,-75.01156081845866,0.002128277654719568,0.01173040962066807,18,158.0,340,42,46,"eff_d_f_exc_[3, 6]_[10, 11]","[[3, 6], [10, 11]]",0.012443958179125515
11,11,-75.01440352873077,0.0028427102721053643,0.008887699348562705,18,171.0,373,51,46,"eff_d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.387409262105398
12,12,-75.0152394621974,0.0008359334666323548,0.00805176588193035,19,184.0,406,51,46,"eff_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.1877407348862642
13,13,-75.01702825417847,0.0017887919810704034,0.006262973900859947,18,205.0,441,64,54,"eff_d_f_exc_[4, 7]_[10, 13]","[[4, 7], [10, 13]]",-0.04842832562673525
