,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-74.97835026077037,0.01578766874601456,0.04494096730930153,6,48.0,72,32,24,"d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.07785574295527431
2,2,-74.98209357727592,0.0037433165055489326,0.041197650803752595,8,96.0,144,32,24,"d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.02878708748994466
3,3,-74.98806980190186,0.005976224625939608,0.03522142617781299,10,176.0,216,64,48,"d_f_exc_[5, 6]_[10, 13]","[[5, 6], [10, 13]]",0.0804371528589167
4,4,-74.99413124881204,0.0060614469101807344,0.029159979267632252,12,256.0,288,80,48,"d_f_exc_[4, 7]_[11, 12]","[[4, 7], [11, 12]]",0.07430349927421855
5,5,-74.99866422203955,0.004532973227512116,0.024627006040120136,12,304.0,360,96,64,"d_f_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",0.07592889014048707
6,6,-75.00115862950685,0.0024944074672959005,0.022132598572824236,15,352.0,432,128,80,"d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.025760518766940254
7,7,-75.00368595087728,0.0025273213704366526,0.019605277202387583,17,464.0,504,160,80,"d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.026888360332215165
8,8,-75.0061274351162,0.0024414842389148816,0.0171637929634727,19,576.0,576,176,104,"d_f_exc_[2, 7]_[10, 11]","[[2, 7], [10, 11]]",-0.046977682981805984
9,9,-75.00943254080397,0.003305105687772425,0.013858687275700277,18,624.0,648,176,104,"d_f_exc_[6, 7]_[12, 13]","[[6, 7], [12, 13]]",0.04837904713137038
10,10,-75.01156081845873,0.0021282776547622007,0.011730409620938076,18,704.0,720,192,128,"d_f_exc_[3, 6]_[10, 11]","[[3, 6], [10, 11]]",0.03974838786800895
11,11,-75.01440352873082,0.0028427102720911535,0.008887699348846922,18,752.0,792,224,152,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.3539214682760185
12,12,-75.01523946219743,0.0008359334666039331,0.00805176588224299,19,800.0,864,224,152,"d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.21811438625810134
13,13,-75.01702825417843,0.001788791980999349,0.00626297390124364,18,912.0,936,256,152,"d_f_exc_[4, 7]_[10, 13]","[[4, 7], [10, 13]]",-0.04799701985768524
14,14,-75.01895269169013,0.0019244375117040136,0.004338536389539627,18,960.0,1008,272,168,"d_f_exc_[5, 6]_[11, 12]","[[5, 6], [11, 12]]",-0.055318822498572465
15,15,-75.01984089875727,0.0008882070671347719,0.003450329322404855,21,1040.0,1080,304,184,"d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.023430685538470494
16,16,-75.02077113373844,0.0009302349811690647,0.00252009434123579,20,1120.0,1152,336,184,"d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.0281682792767727
17,17,-75.02158534383788,0.000814210099449042,0.0017058842417867481,16,1168.0,1224,352,208,"d_f_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",0.028694615041011527
18,18,-75.02160035414785,1.5010309965646229e-05,0.001690873931821102,16,1216.0,1296,368,232,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",8.016882428691339e-05
19,19,-75.02192377948128,0.00032342533343410196,0.001367448598387,24,1296.0,1368,400,248,"d_f_exc_[5, 7]_[11, 13]","[[5, 7], [11, 13]]",0.022497387738940104
20,20,-75.02229011547011,0.00036633598882929164,0.0010011126095577083,20,1376.0,1440,432,248,"d_f_exc_[4, 6]_[10, 12]","[[4, 6], [10, 12]]",0.02083485168366062
21,21,-75.02246578567184,0.0001756702017274847,0.0008254424078302236,21,1456.0,1512,464,248,"d_f_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.009326784324600695
22,22,-75.02265052923207,0.0001847435602257974,0.0006406988476044262,25,1536.0,1584,496,264,"d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.006675813853824909
23,23,-75.02265629729888,5.7680668135162705e-06,0.0006349307807909099,16,1584.0,1656,496,264,"d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.0007338395281247663
24,24,-75.0226674372899,1.1139991016761996e-05,0.0006237907897741479,48,1632.0,1728,496,264,"d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.0002813326939567527
25,25,-75.02267851913643,1.1081846537308593e-05,0.0006127089432368393,17,1712.0,1800,496,288,"d_f_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",0.00010492907220440619
26,26,-75.02282725469044,0.00014873555400640726,0.0004639733892304321,27,1760.0,1872,512,312,"d_f_exc_[8, 9]_[12, 13]","[[8, 9], [12, 13]]",0.012395512949221558
27,27,-75.02300748890966,0.00018023421921498084,0.00028373917001545124,30,1776.0,1882,512,312,s_f_exc_7_11,"[[7], [11]]",-0.0028647247581822417
28,28,-75.02301200359125,4.51468159212709e-06,0.00027922448842332415,20,1920.0,1954,544,336,"d_f_exc_[0, 7]_[12, 13]","[[0, 7], [12, 13]]",-0.0004772854274619668
29,29,-75.02301636749452,4.363903272519565e-06,0.0002748605851508046,22,2032.0,2026,576,360,"d_f_exc_[1, 6]_[12, 13]","[[1, 6], [12, 13]]",0.0004977432447688668
30,30,-75.02302058387949,4.216384965616271e-06,0.0002706442001851883,20,2144.0,2098,592,360,"d_f_exc_[0, 4]_[10, 12]","[[0, 4], [10, 12]]",0.0007231177495867229
31,31,-75.02302473652395,4.152644464738842e-06,0.00026649155572044947,65,2256.0,2170,624,384,"d_f_exc_[1, 5]_[11, 13]","[[1, 5], [11, 13]]",0.0005034428796923392
32,32,-75.02302789328867,3.1567647198471604e-06,0.0002633347910006023,23,2336.0,2242,624,384,"d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.00043336386700903854
33,33,-75.02303101324287,3.1199542007698255e-06,0.0002602148367998325,31,2384.0,2314,624,384,"d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.00045143721824737054
34,34,-75.02313536249451,0.00010434925164304332,0.00015586558515678917,42,2400.0,2324,624,384,s_f_exc_6_10,"[[6], [10]]",-0.022767953766913412
35,35,-75.02314705938265,1.1696888137180395e-05,0.00014416869701960877,36,2512.0,2396,656,408,"d_f_exc_[2, 7]_[12, 13]","[[2, 7], [12, 13]]",-0.0005663392045698357
36,36,-75.02314818902317,1.1296405233451878e-06,0.00014303905649626358,29,2624.0,2468,672,408,"d_f_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",-0.0003703488287397682
37,37,-75.02314931746862,1.1284454473070582e-06,0.00014191061104895653,26,2736.0,2540,704,432,"d_f_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",0.0004089647738917656
38,38,-75.02315925038017,9.932911552823498e-06,0.00013197769949613303,37,2816.0,2612,736,456,"d_f_exc_[3, 6]_[12, 13]","[[3, 6], [12, 13]]",-0.004119668394070564
39,39,-75.02316018209734,9.317171674183555e-07,0.00013104598232871467,25,2960.0,2684,768,480,"d_f_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",0.00013560790677211973
40,40,-75.02316111413829,9.320409475321867e-07,0.00013011394138118249,21,3040.0,2756,784,480,"d_f_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",-0.00032842883118812963
41,41,-75.02317229136521,1.1177226923564376e-05,0.00011893671445761811,40,3072.0,2766,784,480,s_f_exc_2_10,"[[2], [10]]",-0.0020393698430723243
42,42,-75.02318088804728,8.596682064876404e-06,0.0001103400323927417,43,3104.0,2776,784,480,s_f_exc_3_11,"[[3], [11]]",0.0061310072387824556
43,43,-75.02318779470599,6.906658711614e-06,0.0001034333736811277,48,3136.0,2786,788,480,s_f_exc_4_12,"[[4], [12]]",0.008168848584730892
44,44,-75.02319115911017,3.3644041792513235e-06,0.00010006896950187638,47,3168.0,2796,796,486,s_f_exc_5_13,"[[5], [13]]",-0.01579237405752442
45,45,-75.02319122238404,6.327387325200107e-08,0.00010000569562862438,23,3280.0,2868,796,486,"d_f_exc_[1, 6]_[10, 11]","[[1, 6], [10, 11]]",-0.0005678883019707104
46,46,-75.02319128549367,6.310962419320276e-08,9.994258600443118e-05,18,3424.0,2940,796,486,"d_f_exc_[0, 7]_[10, 11]","[[0, 7], [10, 11]]",0.0002982419286031285
47,47,-75.02319131648848,3.0994812050266773e-08,9.991159119238091e-05,19,3464.0,2950,796,486,s_f_exc_1_11,"[[1], [11]]",-3.920767433131937e-05
48,48,-75.02319134713784,3.064936038299493e-08,9.988094183199792e-05,16,3504.0,2960,796,486,s_f_exc_0_10,"[[0], [10]]",-2.0786341179197382e-05
49,49,-75.02320463275082,1.3285612979530015e-05,8.65953288524679e-05,50,3648.0,3032,812,486,"d_f_exc_[2, 7]_[5, 12]","[[2, 7], [5, 12]]",-0.020217240390210375
50,50,-75.0232160578676,1.1425116781538236e-05,7.517021207092967e-05,66,3792.0,3104,844,510,"d_f_exc_[3, 6]_[4, 13]","[[3, 6], [4, 13]]",-0.02859933828743457
51,51,-75.0232283240248,1.2266157199292138e-05,6.290405487163753e-05,62,3840.0,3176,844,510,"d_f_exc_[7, 10]_[8, 9]","[[7, 10], [8, 9]]",-0.04915517328783127
52,52,-75.02323347580293,5.1517781258780815e-06,5.7752276745759445e-05,67,3984.0,3248,876,510,"d_f_exc_[2, 3]_[5, 12]","[[2, 3], [5, 12]]",-0.006032873876103451
