,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-74.97835026077034,0.01578766874601456,0.04494096730938679,6,48.0,72,32,24,"d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.0912361178940883
2,2,-74.98209357727588,0.0037433165055347217,0.04119765080385207,8,96.0,144,32,24,"d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.034435864598728355
3,3,-74.98806980190184,0.00597622462596803,0.03522142617788404,10,176.0,216,64,48,"d_f_exc_[5, 6]_[10, 13]","[[5, 6], [10, 13]]",0.06219317479950795
4,4,-74.99413124881201,0.006061446910166524,0.029159979267717517,12,256.0,288,80,48,"d_f_exc_[4, 7]_[11, 12]","[[4, 7], [11, 12]]",0.057603117064074255
5,5,-74.99866422203954,0.004532973227526327,0.02462700604019119,12,304.0,360,96,64,"d_f_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",0.06128732597529579
6,6,-75.00115862950682,0.0024944074672816896,0.0221325985729095,15,416.0,432,128,72,"d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.016789984154371725
7,7,-75.00368595087724,0.0025273213704224418,0.01960527720248706,17,464.0,504,160,80,"d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.031034036300242367
8,8,-75.0061274351162,0.002441484238957514,0.017163792963529545,19,544.0,576,176,104,"d_f_exc_[3, 6]_[10, 11]","[[3, 6], [10, 11]]",0.054908079838783534
9,9,-75.00943254080396,0.003305105687758214,0.01385868727577133,18,592.0,648,176,104,"d_f_exc_[6, 7]_[12, 13]","[[6, 7], [12, 13]]",0.11081053672436755
10,10,-75.01156081845863,0.0021282776546769355,0.011730409621094395,18,704.0,720,192,128,"d_f_exc_[2, 7]_[10, 11]","[[2, 7], [10, 11]]",-0.03777938707164572
11,11,-75.01440352873081,0.0028427102721764186,0.008887699348917977,18,752.0,792,224,152,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.2200189252522785
12,12,-75.0152394621974,0.0008359334665897222,0.008051765882328255,19,800.0,864,224,152,"d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.030141282365242064
13,13,-75.01702825417843,0.0017887919810277708,0.006262973901300484,18,848.0,936,240,168,"d_f_exc_[5, 6]_[11, 12]","[[5, 6], [11, 12]]",-0.04417814122706213
14,14,-75.01895269169012,0.0019244375116898027,0.004338536389610681,18,960.0,1008,272,168,"d_f_exc_[4, 7]_[10, 13]","[[4, 7], [10, 13]]",-0.02653695174942789
15,15,-75.01984089875727,0.0008882070671489828,0.003450329322461698,21,1040.0,1080,304,168,"d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.025772146946155816
16,16,-75.02077113373844,0.0009302349811690647,0.0025200943412926335,20,1120.0,1152,336,184,"d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.008648013342881719
17,17,-75.02158534383784,0.0008142100994064094,0.0017058842418862241,16,1168.0,1224,352,208,"d_f_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",0.02528673699717176
18,18,-75.02160035414778,1.501030993722452e-05,0.0016908739319489996,16,1216.0,1296,368,232,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0005988394797615869
19,19,-75.02192377948128,0.00032342533350515623,0.0013674485984438434,21,1296.0,1368,400,232,"d_f_exc_[4, 6]_[10, 12]","[[4, 6], [10, 12]]",-0.001170514698059476
20,20,-75.02229011547007,0.00036633598878665907,0.0010011126096571843,20,1376.0,1440,432,248,"d_f_exc_[5, 7]_[11, 13]","[[5, 7], [11, 13]]",0.0176755194077361
21,21,-75.0224657856719,0.0001756702018269607,0.0008254424078302236,23,1456.0,1512,464,264,"d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.01171197448669784
22,22,-75.022650529232,0.00018474356009789972,0.0006406988477323239,24,1536.0,1584,496,264,"d_f_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.010646109340614147
23,23,-75.02265629729898,5.768066984046527e-06,0.0006349307807482774,16,1584.0,1656,496,264,"d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.00034057279761275734
24,24,-75.02266743728981,1.1139990832020885e-05,0.0006237907899162565,17,1664.0,1728,496,264,"d_f_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",-0.00043251133206746126
25,25,-75.02267851913636,1.1081846551519448e-05,0.000612708943364737,17,1712.0,1800,496,288,"d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.00017235150831363595
26,26,-75.02282725469053,0.00014873555416272666,0.00046397338920201037,30,1760.0,1872,512,312,"d_f_exc_[8, 9]_[12, 13]","[[8, 9], [12, 13]]",0.03144048492736861
27,27,-75.0229792141298,0.00015195943927892586,0.0003120139499230845,31,1774.0,1882,512,312,s_f_exc_7_11,"[[7], [11]]",0.0001455317498501376
28,28,-75.02298372107356,4.506943753312953e-06,0.00030750700616977156,20,1918.0,1954,544,336,"d_f_exc_[0, 7]_[12, 13]","[[0, 7], [12, 13]]",0.00017181192900968904
29,29,-75.02298807094591,4.349872355646767e-06,0.0003031571338141248,23,2030.0,2026,576,360,"d_f_exc_[1, 6]_[12, 13]","[[1, 6], [12, 13]]",4.1003142261417294e-05
30,30,-75.02299228056813,4.2096222188092725e-06,0.0002989475115953155,20,2142.0,2098,592,360,"d_f_exc_[0, 4]_[10, 12]","[[0, 4], [10, 12]]",-3.778703919934023e-05
31,31,-75.02299642324773,4.142679600249721e-06,0.0002948048319950658,25,2254.0,2170,624,384,"d_f_exc_[1, 5]_[11, 13]","[[1, 5], [11, 13]]",0.00032170915022483614
32,32,-75.02299953157987,3.108332137458092e-06,0.0002916964998576077,23,2334.0,2242,624,384,"d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0003793875183477828
33,33,-75.02300260995963,3.0783797626554588e-06,0.00028861812009495225,25,2382.0,2314,624,384,"d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0003976711267854334
34,34,-75.02301591071574,1.3300756108947098e-05,0.00027531736398600515,32,2462.0,2386,656,408,"d_f_exc_[3, 6]_[12, 13]","[[3, 6], [12, 13]]",0.12597181518336378
35,35,-75.02301706166205,1.1509463035963563e-06,0.0002741664176824088,19,2574.0,2458,688,432,"d_f_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",-2.5978910297865147e-05
36,36,-75.02301818200422,1.1203421763639199e-06,0.00027304607550604487,82,2686.0,2530,704,432,"d_f_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",0.0003670210605946706
37,37,-75.023028600704,1.041869977314036e-05,0.0002626273757329045,35,2798.0,2602,736,456,"d_f_exc_[2, 7]_[12, 13]","[[2, 7], [12, 13]]",-0.01602285113151519
