,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-74.97835026077034,0.01578766874601456,0.04494096730938679,6,13.0,33,11,11,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.09873691290393488
2,2,-74.98209357727588,0.0037433165055347217,0.04119765080385207,8,26.0,66,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.036491477159137434
3,3,-74.98806980190184,0.00597622462596803,0.03522142617788404,10,39.0,99,17,21,"d_q_exc_[5, 6]_[10, 13]","[[5, 6], [10, 13]]",-0.06121171327313707
4,4,-74.99413124881201,0.006061446910166524,0.029159979267717517,12,52.0,132,22,22,"d_q_exc_[4, 7]_[11, 12]","[[4, 7], [11, 12]]",-0.12917416878322507
5,5,-74.99866422203954,0.004532973227526327,0.02462700604019119,12,65.0,165,22,22,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",-0.0621891935814838
6,6,-75.00115862950682,0.0024944074672816896,0.0221325985729095,15,78.0,198,28,32,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.0007608425622007198
7,7,-75.00355572953208,0.0023971000252629437,0.019735498547646557,17,91.0,231,28,32,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.00795802711140262
8,8,-75.00605172896293,0.002495999430848883,0.017239499116797674,19,104.0,264,33,33,"d_q_exc_[2, 7]_[10, 11]","[[2, 7], [10, 11]]",-0.004618698718342169
9,9,-75.00935237933567,0.0033006503727364134,0.01393884874406126,17,117.0,297,33,40,"d_q_exc_[6, 7]_[12, 13]","[[6, 7], [12, 13]]",-0.05652128757504544
10,10,-75.01148151564271,0.0021291363070474745,0.011809712437013786,20,130.0,330,34,42,"d_q_exc_[3, 6]_[10, 11]","[[3, 6], [10, 11]]",-0.03428980198345729
11,11,-75.014312301253,0.002830785610285602,0.008978926826728184,19,143.0,363,39,43,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.04967308675882983
12,12,-75.01514456547126,0.0008322642182605478,0.008146662608467636,18,156.0,396,44,44,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.017541325670119217
13,13,-75.01695337479909,0.001808809327826566,0.00633785328064107,18,169.0,429,50,54,"d_q_exc_[4, 7]_[10, 13]","[[4, 7], [10, 13]]",0.044504252562301345
14,14,-75.0188822291616,0.0019288543625179955,0.004408998918123075,18,182.0,462,50,54,"d_q_exc_[5, 6]_[11, 12]","[[5, 6], [11, 12]]",0.04326771255635579
15,15,-75.01977756658316,0.0008953374215536769,0.003513661496569398,20,195.0,495,56,64,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.02260937534618213
16,16,-75.02064684858736,0.000869282004202887,0.002644379492366511,20,208.0,528,56,64,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.02143918261328244
17,17,-75.02146148788022,0.0008146392928551904,0.0018297401995113205,16,221.0,561,56,64,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",-0.03931929144940681
18,18,-75.02147650189275,1.5014012532788001e-05,0.0018147261869785325,16,234.0,594,56,66,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.00018191552436366736
19,19,-75.02180030131805,0.00032379942530269545,0.001490926761675837,21,247.0,627,67,75,"d_q_exc_[4, 6]_[10, 12]","[[4, 6], [10, 12]]",0.008017439128080386
20,20,-75.02216670166518,0.00036640034713286695,0.00112452641454297,18,260.0,660,67,75,"d_q_exc_[5, 7]_[11, 13]","[[5, 7], [11, 13]]",0.018433217454846492
21,21,-75.02234323214412,0.00017653047893873008,0.00094799593560424,24,273.0,693,67,83,"d_q_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.010509934980237019
22,22,-75.0225135885907,0.0001703564465742602,0.0007776394890299798,18,286.0,726,73,85,"d_q_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",-0.0006831359393063379
23,23,-75.02251935992243,5.771331728965379e-06,0.0007718681573010144,16,299.0,759,73,85,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-4.783693912288e-06
24,24,-75.02253047713758,1.111721515201225e-05,0.0007607509421490022,18,312.0,792,73,85,"d_q_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",-0.0005150600592927322
