,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-98.59606732551536,0.025095693591708823,0.0072342684592570095,6,13.0,33,11,11,"eff_d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.13537597399339205
2,2,-98.59785203006781,0.0017847045524490568,0.005449563906807953,7,26.0,66,11,12,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.024282178809683207
3,3,-98.60015124739314,0.0022992173253300052,0.0031503465814779474,9,39.0,99,17,21,"eff_d_f_exc_[3, 4]_[10, 11]","[[3, 4], [10, 11]]",0.030222512011375394
4,4,-98.60216418382676,0.002012936433615664,0.0011374101478622833,12,56.0,134,24,24,"eff_d_f_exc_[2, 5]_[10, 11]","[[2, 5], [10, 11]]",-0.03023634532683962
5,5,-98.60257200133874,0.0004078175119843763,0.000729592635877907,11,69.0,167,25,30,"eff_d_f_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",0.017800414847681283
6,6,-98.60295317479904,0.00038117346029764576,0.00034841917558026125,12,82.0,200,30,36,"eff_d_f_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",0.017803235594688136
7,7,-98.60296019026191,7.015462870185729e-06,0.0003414037127100755,13,95.0,233,35,42,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.00036801952017419834
8,8,-98.60318738999598,0.00022719973406992722,0.00011420397864014831,19,108.0,244,38,45,eff_s_f_exc_10_4,"[[4], [10]]",-0.012366194783315144
9,9,-98.60319348369146,6.093695475328786e-06,0.00010811028316481952,15,121.0,277,43,51,"eff_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0004809499513574628
10,10,-98.60319949068857,6.006997111285273e-06,0.00010210328605353425,19,138.0,312,48,57,"eff_d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0004809345884372415
11,11,-98.60327552626882,7.603558024982249e-05,2.606770580371176e-05,23,151.0,323,52,57,eff_s_f_exc_11_5,"[[5], [11]]",-0.012366418353566134
12,12,-98.6032897645904,1.4238321583093239e-05,1.1829384220618522e-05,24,168.0,334,55,60,eff_s_f_exc_10_2,"[[2], [10]]",-0.0028864234647397913
13,13,-98.60330118617668,1.1421586279425355e-05,4.077979411931665e-07,25,185.0,345,59,60,eff_s_f_exc_11_3,"[[3], [11]]",-0.0028864008299546084
14,14,-98.60330136033431,1.7415763409189822e-07,2.3364030710126826e-07,15,202.0,380,64,66,"eff_d_f_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",8.108270122238352e-05
15,15,-98.60330153422773,1.7389341167017847e-07,5.97468954310898e-08,16,223.0,415,69,72,"eff_d_f_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",-8.108062075744413e-05
16,16,-98.60330156414895,2.992122460909741e-08,2.982567082199239e-08,19,244.0,426,73,75,eff_s_f_exc_11_1,"[[1], [11]]",-3.448603632109812e-05
17,17,-98.60330159397441,2.982545765917166e-08,2.1316282072803006e-13,62,265.0,437,76,75,eff_s_f_exc_10_0,"[[0], [10]]",-3.448772381945318e-05
