,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-98.59606732551538,0.025095693591723034,0.007234268459242799,59,48.0,72,32,24,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.1353759465235278
2,2,-98.59785203006783,0.0017847045524490568,0.005449563906793742,100,96.0,144,64,48,"d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.024282172119269335
3,3,-98.60015124739317,0.002299217325344216,0.0031503465814495257,182,144.0,216,96,72,"d_f_exc_[3, 4]_[10, 11]","[[3, 4], [10, 11]]",0.030222585002643784
4,4,-98.60216418382677,0.0020129364336014532,0.0011374101478480725,250,224.0,288,128,96,"d_f_exc_[2, 5]_[10, 11]","[[2, 5], [10, 11]]",-0.03023638377510246
5,5,-98.60257200133877,0.0004078175119985872,0.0007295926358494853,301,272.0,360,160,120,"d_f_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",0.017800381666934824
6,6,-98.60295317479914,0.00038117346036870003,0.00034841917548078527,408,320.0,432,192,144,"d_f_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",0.01780325877169562
7,7,-98.60296019026191,7.015462770709746e-06,0.0003414037127100755,319,368.0,504,224,168,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.00036821399350059185
8,8,-98.60318738999608,0.0002271997341694032,0.00011420397854067232,743,392.0,514,232,174,s_f_exc_5_11,"[[5], [11]]",-0.012366461445928274
9,9,-98.60319348369137,6.093695290587675e-06,0.00010811028325008465,615,472.0,586,264,198,"d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0004809196438136273
10,10,-98.60319949068852,6.006997153917837e-06,0.00010210328609616681,735,520.0,658,296,222,"d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.00048093013316477653
11,11,-98.60327542982266,7.593913413472819e-05,2.616415196143862e-05,710,544.0,668,300,222,s_f_exc_4_10,"[[4], [10]]",-0.012366304103523747
12,12,-98.60328975259203,1.4322769374075506e-05,1.1841382587363114e-05,699,576.0,678,308,228,s_f_exc_3_11,"[[3], [11]]",-0.0028863616479768255
13,13,-98.60330107144658,1.1318854546971124e-05,5.225280403919896e-07,687,608.0,688,312,228,s_f_exc_2_10,"[[2], [10]]",-0.0028864508681527633
14,14,-98.60330136011382,2.886672376689603e-07,2.3386080272302934e-07,714,688.0,760,344,252,"d_f_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",8.107356508221174e-05
15,15,-98.6033015339953,1.738814887630724e-07,5.997931395995693e-08,734,800.0,832,376,276,"d_f_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",-8.10735908076645e-05
16,16,-98.60330156377243,2.977712654228526e-08,3.0202187417671666e-08,714,840.0,842,380,276,s_f_exc_0_10,"[[0], [10]]",-3.7243349881003404e-05
17,17,-98.60330159382835,3.005591509008809e-08,1.4627232758357422e-10,731,880.0,852,388,282,s_f_exc_1_11,"[[1], [11]]",-3.450906414349117e-05
18,18,-98.60330159397441,1.460591647628462e-10,2.1316282072803006e-13,633,920.0,862,392,282,s_f_exc_0_10,"[[0], [10]]",2.760517539415782e-06
19,19,-98.60330159397442,1.4210854715202004e-14,1.9895196601282805e-13,554,968.0,934,424,306,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-2.0100401674245526e-07
