,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-98.5960673255154,0.025095693591708823,0.007234268459171744,6,48.0,72,32,24,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.13525115439211288
2,2,-98.59785203006783,0.001784704552420635,0.005449563906751109,7,96.0,144,64,48,"d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.024275451148742126
3,3,-98.60015124739317,0.002299217325344216,0.003150346581406893,9,144.0,216,96,72,"d_f_exc_[3, 4]_[10, 11]","[[3, 4], [10, 11]]",0.033321372374532615
4,4,-98.6021641838268,0.002012936433629875,0.0011374101477770182,12,224.0,288,128,96,"d_f_exc_[2, 5]_[10, 11]","[[2, 5], [10, 11]]",-0.033339816792917684
5,5,-98.60257200133881,0.00040781751201279803,0.0007295926357642202,11,272.0,360,160,120,"d_f_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",0.017803638785241584
6,6,-98.60295317479905,0.00038117346024080234,0.00034841917552341783,12,320.0,432,192,144,"d_f_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",0.01780646358726299
7,7,-98.60296019026197,7.015462912818293e-06,0.00034140371261059954,92,368.0,504,224,168,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.00036808238552048743
8,8,-98.60296588963091,5.699368941236571e-06,0.00033570434366936297,15,416.0,576,256,192,"d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.00048106908437749147
9,9,-98.60297156008397,5.670453063544301e-06,0.00033003389060581867,17,496.0,648,288,216,"d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0004810718276850266
10,10,-98.60297169930058,1.39216609795767e-07,0.0003298946739960229,15,576.0,720,320,240,"d_f_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",8.156202544242264e-05
11,11,-98.60297183831103,1.3901045292641356e-07,0.0003297556635430965,17,688.0,792,352,264,"d_f_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",-8.156265062940783e-05
12,12,-98.60297824619072,6.407879681091799e-06,0.0003233477838620047,24,832.0,864,384,288,"d_f_exc_[2, 11]_[4, 5]","[[2, 11], [4, 5]]",-0.01894162124933967
13,13,-98.60298398481406,5.7386233436318435e-06,0.00031760916051837285,26,944.0,936,400,288,"d_f_exc_[3, 10]_[4, 5]","[[3, 10], [4, 5]]",0.018946400568241574
14,14,-98.6031864376505,0.00020245283644726442,0.00011515632407110843,37,1088.0,1008,432,312,"d_f_exc_[2, 5]_[4, 11]","[[2, 5], [4, 11]]",-0.4319107687192011
15,15,-98.60330153893585,0.00011510128534553132,5.503872557710565e-08,45,1200.0,1080,448,312,"d_f_exc_[3, 4]_[5, 10]","[[3, 4], [5, 10]]",-0.43191821516317497
16,16,-98.60330156647854,2.7542682801140472e-08,2.749604277596518e-08,22,1344.0,1152,464,312,"d_f_exc_[1, 10]_[4, 5]","[[1, 10], [4, 5]]",0.00024298241983691758
17,17,-98.60330159397212,2.749358429809945e-08,2.4584778657299466e-12,22,1520.0,1224,496,336,"d_f_exc_[0, 11]_[4, 5]","[[0, 11], [4, 5]]",-0.00024302595543790738
