,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-98.59606732551542,0.025095693591708823,0.007234268458972792,6,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.13497659391059058
2,2,-98.59785203006784,0.001784704552420635,0.005449563906552157,7,26.0,66,11,12,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.02426745847876422
3,3,-98.60015124739317,0.0022992173253300052,0.003150346581222152,9,39.0,99,17,21,"d_q_exc_[3, 4]_[10, 11]","[[3, 4], [10, 11]]",-0.03021911706944845
4,4,-98.60216418382683,0.0020129364336582967,0.0011374101475638554,12,52.0,132,22,24,"d_q_exc_[2, 5]_[10, 11]","[[2, 5], [10, 11]]",0.030306999441946626
5,5,-98.60257200133881,0.0004078175119843763,0.0007295926355794791,11,65.0,165,25,30,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",-0.017799408857580603
6,6,-98.60295317479911,0.00038117346029764576,0.0003484191752818333,12,78.0,198,30,36,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",-0.01780222914559595
7,7,-98.60296019026198,7.015462870185729e-06,0.0003414037124116476,13,91.0,231,35,42,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.00036799979828566764
8,8,-98.60296588963082,5.699368841760588e-06,0.000335704343569887,16,104.0,264,40,48,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.00048104332284814623
9,9,-98.60297156008399,5.670453163020284e-06,0.0003300338904068667,17,117.0,297,45,54,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.00048091373586364093
10,10,-98.60313158796804,0.00016002788404989587,0.00017000600635697083,23,120.0,304,45,57,s_q_exc_5_11,"[[5], [11]]",0.016110831091067715
11,11,-98.60328098073019,0.000149392762153866,2.061324420310484e-05,23,123.0,311,48,57,s_q_exc_4_10,"[[4], [10]]",-0.016251723960190402
12,12,-98.6032946407004,1.3659970207413608e-05,6.953273995691234e-06,24,126.0,318,48,60,s_q_exc_3_11,"[[3], [11]]",0.00312686287796055
13,13,-98.60330119176335,6.551062952553366e-06,4.022110431378678e-07,21,129.0,325,51,60,s_q_exc_2_10,"[[2], [10]]",-0.0021696036902213527
14,14,-98.60330136589462,1.7413127295640152e-07,2.280797701814663e-07,15,142.0,358,56,66,"d_q_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",-8.110583647210965e-05
15,15,-98.60330153961782,1.7372319405239978e-07,5.4356576129066525e-08,16,155.0,391,61,72,"d_q_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",8.202649912364928e-05
16,16,-98.60330156890015,2.9282333002811356e-08,2.507424312625517e-08,16,158.0,398,61,75,s_q_exc_1_11,"[[1], [11]]",3.418619625962599e-05
17,17,-98.60330159397422,2.5074072595998587e-08,1.7053025658242404e-13,49,161.0,405,64,75,s_q_exc_0_10,"[[0], [10]]",-3.1619721089156766e-05
