,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-98.59606732551536,0.025095693591708823,0.0072342684592570095,6,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.1349766243541231
2,2,-98.59785203006781,0.0017847045524490568,0.005449563906807953,7,26.0,66,11,12,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.0242675869464188
3,3,-98.60015124739314,0.0022992173253300052,0.0031503465814779474,9,39.0,99,17,21,"d_q_exc_[3, 4]_[10, 11]","[[3, 4], [10, 11]]",-0.030219011025139016
4,4,-98.60216418382676,0.002012936433615664,0.0011374101478622833,12,52.0,132,22,24,"d_q_exc_[2, 5]_[10, 11]","[[2, 5], [10, 11]]",0.03030683318531727
5,5,-98.60257200133874,0.0004078175119843763,0.000729592635877907,11,65.0,165,25,30,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",-0.01779949705263326
6,6,-98.60295317479904,0.00038117346029764576,0.00034841917558026125,12,78.0,198,30,36,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",-0.01780231734141604
7,7,-98.60296019026191,7.015462870185729e-06,0.0003414037127100755,13,91.0,231,35,42,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0003680003414781215
8,8,-98.60296588963077,5.699368855971443e-06,0.0003357043438541041,16,104.0,264,40,48,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.00048105370859300003
9,9,-98.60297156008394,5.670453177231138e-06,0.00033003389067687294,17,117.0,297,45,54,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.0004808730648502072
10,10,-98.60313158796791,0.00016002788396463075,0.0001700060067122422,23,120.0,304,45,57,s_q_exc_5_11,"[[5], [11]]",0.016110722760422556
11,11,-98.60328098073012,0.0001493927622107094,2.061324450153279e-05,23,123.0,311,48,57,s_q_exc_4_10,"[[4], [10]]",-0.01625173625424339
12,12,-98.60329464070035,1.3659970235835317e-05,6.953274265697473e-06,24,126.0,318,48,60,s_q_exc_3_11,"[[3], [11]]",0.0031268316079848856
13,13,-98.60330119176325,6.551062895709947e-06,4.0221136998752627e-07,21,129.0,325,51,60,s_q_exc_2_10,"[[2], [10]]",-0.002169736539605424
14,14,-98.60330136589464,1.7413138664323924e-07,2.2807998334428703e-07,15,142.0,358,56,66,"d_q_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",-8.109131582062902e-05
15,15,-98.60330153961765,1.7372300931128848e-07,5.435697403299855e-08,16,155.0,391,61,72,"d_q_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",8.201417435605614e-05
16,16,-98.6033015688999,2.9282247737683065e-08,2.5074726295315486e-08,12,158.0,398,61,75,s_q_exc_1_11,"[[1], [11]]",3.416083777173554e-05
17,17,-98.60330159397407,2.5074172071981593e-08,5.542233338928781e-13,12,161.0,405,64,75,s_q_exc_0_10,"[[0], [10]]",-3.161990802983262e-05
